0,73,74,75,76,78,80,82,84,85,86,88,90,92,94,95,96,98,100,102,104,105,106,108
5,0.653,0.65,0.649,0.648,0.646,0.643,0.64,0.637,0.635,0.634,0.63,0.625,0.62,0.615,0.613,0.61,0.605,0.6,0.595,0.59,0.587,0.585,0.58
10,0.8100000000000001,0.8101,0.8090000000000001,0.8080000000000001,0.8070000000000001,0.8014,0.797,0.793,0.7916,0.79,0.7853,0.7811,0.775,0.765,0.7637,0.759,0.754,0.748,0.74,0.731,0.721,0.7187,0.71
12.5,0.8549,0.855,0.8498,0.8495,0.8462,0.8435,0.8411999999999999,0.8372000000000001,0.8351,0.8334,0.8277,0.8221000000000001,0.8154,0.8106,0.8048,0.8031,0.7934,0.786,0.7789,0.7704,0.7649,0.7592,0.7513
15,0.8692,0.87,0.8712,0.8726,0.8734,0.8724,0.8699,0.8665,0.8655,0.8647,0.8558,0.8539,0.8481,0.8426,0.8399,0.8383,0.8325,0.825,0.8177,0.8096,0.8055,0.802,0.7933
15.5,0.8682,0.8739,0.8782,0.8807,0.8858,0.8875,0.8885,0.8883,0.8864,0.8853,0.884,0.8818,0.8781,0.8739,0.8711,0.8687,0.8631,0.8568,0.8508,0.8459,0.8401,0.8377,0.8322000000000001
20,0.852,0.861,0.8696,0.8752,0.8858,0.892,0.8962,0.8989,0.8992,0.8983,0.8968,0.8962,0.8919,0.8894,0.8877,0.8851,0.8816000000000001,0.879,0.8735000000000001,0.8699,0.8683,0.8673999999999999,0.8624000000000001
22.5,0.8011,0.8167,0.8316,0.8455,0.8667,0.882,0.8929,0.9018,0.9036,0.9053,0.9072,0.9084,0.9089,0.9053,0.9049,0.903,0.9002,0.8975,0.8927,0.8888,0.8861,0.8834,0.878
25,0.6637,0.6808,0.7153,0.738,0.8042,0.8428,0.867,0.8842,0.8902,0.8935999999999999,0.9013,0.9061,0.9086,0.91,0.9111,0.9106,0.901,0.9075,0.9051,0.9001,0.8989,0.8953,0.8895
27.5,0,0,0,0.605,0.6619,0.7161999999999999,0.775,0.8232,0.8405,0.8551,0.8788,0.8935,0.904,0.9118000000000001,0.9144,0.9151,0.9161,0.9162,0.9116,0.909,0.9067,0.9046,0.8985
30,0,0,0,0,0,0,0.6216,0.6843,0.7196,0.762,0.8297,0.8614000000000001,0.8825,0.8971,0.9025,0.9048,0.9092,0.911,0.9131,0.9137999999999999,0.9149,0.9141,0.9108000000000001
32.5,0,0,0,0,0,0,0,0,0.642,0.7059,0.7832,0.8375,0.8673999999999999,0.8776,0.8658,0.8998,0.908,0.9127999999999999,0.9137999999999999,0.9134,0.9147999999999999,0.9108000000000001,0.911
35,0,0,0,0,0,0,0,0,0,0,0.6292,0.7125,0.7791,0.8132,0.8348,0.8668,0.8858,0.8992,0.9071,0.9103,0.9119,0.9122,0.912
37.5,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.6938,0.735,0.801,0.8445,0.8716,0.887,0.8943,0.8969,0.9001,0.9
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6012999999999999,0.6733,0.7453,0.804,0.8447,0.8578,0.8662,0.878,0.878
42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6564,0.72,0.78,0.8051,0.8191000000000001,0.844,0.844
