& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
CURVAJUS   0001     001      885.6395  001
CURVAJUS   0001     002      885.6610  002
CURVAJUS   0001     003      885.7390  002
CURVAJUS   0002     001      856.3117  002
CURVAJUS   0004     001      766.3000  002
CURVAJUS   0004     002      767.1000  003
CURVAJUS   0004     003      767.4000  002
CURVAJUS   0004     004      767.6000  003
CURVAJUS   0004     005      767.9000  002
CURVAJUS   0006     001      669.1747  003
CURVAJUS   0007     001      619.0897  002
CURVAJUS   0007     002      619.8000  003
CURVAJUS   0007     003      620.5000  003
CURVAJUS   0007     004      621.3000  003
CURVAJUS   0007     005      622.0000  003
CURVAJUS   0008     001      556.0107  002
CURVAJUS   0008     002      557.2000  003
CURVAJUS   0008     003      557.5000  003
CURVAJUS   0008     004      557.8000  003
CURVAJUS   0008     005      558.1000  003
CURVAJUS   0009     001      512.0657  002
CURVAJUS   0010     001      493.6613  002
CURVAJUS   0010     002      493.9954  002
CURVAJUS   0010     003      494.0866  003
CURVAJUS   0011     001      465.6823  002
CURVAJUS   0011     002      466.2891  003
CURVAJUS   0011     003      466.4596  003
CURVAJUS   0011     004      466.6972  003
CURVAJUS   0012     001      442.6024  002
CURVAJUS   0012     002      443.5046  003
CURVAJUS   0012     003      444.1802  003
CURVAJUS   0012     004      444.9215  003
CURVAJUS   0012     005      445.5007  003
CURVAJUS   0014     001      746.4475  002
CURVAJUS   0015     001      573.7744  003
CURVAJUS   0016     001      545.5578  003
CURVAJUS   0017     001      378.5525  002
CURVAJUS   0017     002      379.1863  003
CURVAJUS   0017     003      380.5235  003
CURVAJUS   0017     004      381.7291  003
CURVAJUS   0018     001      322.9100  002
CURVAJUS   0018     002      325.2000  003
CURVAJUS   0018     003      326.2000  003
CURVAJUS   0018     004      327.1000  003
CURVAJUS   0018     005      328.1000  003
CURVAJUS   0020     001      754.2888  002
CURVAJUS   0021     001      674.2476  002
CURVAJUS   0024     001      518.3799  001
CURVAJUS   0025     001      694.5344  002
CURVAJUS   0025     002      695.2000  003
CURVAJUS   0026     001      623.1773  003
CURVAJUS   0026     002      623.7000  004
CURVAJUS   0027     001      563.3395  002
CURVAJUS   0027     002      564.8000  003
CURVAJUS   0027     003      564.9000  003
CURVAJUS   0028     001      517.0324  002
CURVAJUS   0028     002      517.5000  003
CURVAJUS   0028     003      519.1000  002
CURVAJUS   0028     004      519.9000  002
CURVAJUS   0029     001      771.1804  002
CURVAJUS   0030     001      514.6975  002
CURVAJUS   0030     002      517.3000  003
CURVAJUS   0030     003      519.9000  002
CURVAJUS   0031     001      432.2829  002
CURVAJUS   0031     002      433.1561  003
CURVAJUS   0031     003      433.9613  003
CURVAJUS   0032     001      395.2433  002
CURVAJUS   0032     002      396.1786  003
CURVAJUS   0032     003      397.5490  003
CURVAJUS   0032     004      398.6833  003
CURVAJUS   0033     001      323.0940  002
CURVAJUS   0033     002      324.5000  003
CURVAJUS   0033     003      325.7000  003
CURVAJUS   0033     004      327.0000  002
CURVAJUS   0033     005      328.2000  002
CURVAJUS   0034     001      279.6723  002
CURVAJUS   0034     002      279.9000  003
CURVAJUS   0037     001      427.2163  002
CURVAJUS   0037     002      427.3662  002
CURVAJUS   0037     003      427.4503  002
CURVAJUS   0037     004      427.5378  002
CURVAJUS   0038     001      403.4227  002
CURVAJUS   0038     002      404.0000  003
CURVAJUS   0039     001      381.0070  002
CURVAJUS   0039     002      381.8000  003
CURVAJUS   0039     003      382.5000  002
CURVAJUS   0039     004      383.3000  002
CURVAJUS   0039     005      384.0000  002
CURVAJUS   0040     001      356.8942  002
CURVAJUS   0040     002      357.2000  003
CURVAJUS   0040     003      357.5000  003
CURVAJUS   0040     004      357.7000  003
CURVAJUS   0040     005      358.0000  003
CURVAJUS   0042     001      323.9804  002
CURVAJUS   0042     002      325.5000  003
CURVAJUS   0042     003      326.4000  003
CURVAJUS   0042     004      327.2000  003
CURVAJUS   0042     005      328.1000  003
CURVAJUS   0043     001      279.6603  002
CURVAJUS   0043     002      279.7000  003
CURVAJUS   0043     003      279.8000  003
CURVAJUS   0043     004      279.9000  003
CURVAJUS   0045     001      257.7444  002
