&d hh m             cotR11
&X XX X         XXXXXXXXXX
30  0 0              92.57
30  0 1              92.49
30  1 0              92.35
30  1 1              92.19
30  2 0              92.02
30  2 1              91.86
30  3 0              91.72
30  3 1              91.59
30  4 0              91.46
30  4 1              91.36
30  5 0              91.25
30  5 1              91.14
30  6 0              91.03
30  6 1              90.95
30  7 0              90.87
30  7 1              90.83
30  8 0              90.78
30  8 1              90.76
30  9 0              90.74
30  9 1              90.76
30 10 0              90.77
30 10 1              90.79
30 11 0              90.82
30 11 1              90.83
30 12 0              90.86
30 12 1              90.86
30 13 0              90.87
30 13 1              90.88
30 14 0              90.90
30 14 1              90.96
30 15 0              91.01
30 15 1              91.07
30 16 0              91.15
30 16 1              91.26
30 17 0              91.37
30 17 1              91.46
30 18 0              91.59
30 18 1              91.53
30 19 0              91.67
30 19 1              91.81
30 20 0              91.95
30 20 1              92.06
30 21 0              92.18
30 21 1              92.25
30 22 0              92.33
30 22 1              92.35
30 23 0              92.39
30 23 1              92.36
