NUM;NOME;itp;DI;HI;M;DF;HF;M;VAZAO
1;CAMARGOS;1;1;;;F;;;52
1;CAMARGOS;1;3;;;F;;;51
1;CAMARGOS;1;6;;;F;;;50
2;ITUTINGA;1;1;;;F;;;0
4;FUNIL-GRANDE;1;1;;;F;;;70
4;FUNIL-GRANDE;1;3;;;F;;;69
4;FUNIL-GRANDE;1;5;;;F;;;68
4;FUNIL-GRANDE;1;7;;;F;;;67
24;EMBORCACAO;1;1;;;F;;;106
24;EMBORCACAO;1;3;;;F;;;105
24;EMBORCACAO;1;4;;;F;;;104
24;EMBORCACAO;1;5;;;F;;;103
24;EMBORCACAO;1;6;;;F;;;102
27;CAPIM BRANC1;1;1;;;F;;;1
28;CAPIM BRANC2;1;1;;;F;;;1
25;NOVA PONTE;1;1;;;F;;;104
25;NOVA PONTE;1;2;;;F;;;103
25;NOVA PONTE;1;3;;;F;;;102
25;NOVA PONTE;1;4;;;F;;;101
25;NOVA PONTE;1;6;;;F;;;100
25;NOVA PONTE;1;7;;;F;;;99
33;SAO SIMAO;1;1;;;F;;;488
33;SAO SIMAO;1;2;;;F;;;483
33;SAO SIMAO;1;3;;;F;;;478
33;SAO SIMAO;1;4;;;F;;;474
33;SAO SIMAO;1;5;;;F;;;470
33;SAO SIMAO;1;6;;;F;;;466
33;SAO SIMAO;1;7;;;F;;;463
156;TRES MARIAS;1;1;;;F;;;169
156;TRES MARIAS;1;2;;;F;;;168
156;TRES MARIAS;1;3;;;F;;;166
156;TRES MARIAS;1;4;;;F;;;164
156;TRES MARIAS;1;5;;;F;;;163
156;TRES MARIAS;1;6;;;F;;;161
156;TRES MARIAS;1;7;;;F;;;160
134;SALTO GRANDE;1;1;;;F;;;55
10;IGARAPAVA;1;1;;;F;;;6
143;AIMORES;1;1;;;F;;;100
162;QUEIMADO;1;1;;;F;;;35
162;QUEIMADO;1;3;;;F;;;34
162;QUEIMADO;1;6;;;F;;;33
148;IRAPE;1;1;;;F;;;47
217;ROSAL;1;1;;;F;;;28
193;SA CARVALHO;1;1;;;F;;;3
141;BAGUARI;1;1;;;F;;;84
14;CACONDE;1;1;;;F;;;17
14;CACONDE;1;2;;;F;;;16
18;A. VERMELHA;1;1;;;F;;;73
18;A. VERMELHA;1;2;;;F;;;72
18;A. VERMELHA;1;3;;;F;;;71
18;A. VERMELHA;1;4;;;F;;;70
18;A. VERMELHA;1;5;;;F;;;69
18;A. VERMELHA;1;6;;;F;;;68
37;BARRA BONITA;1;1;;;F;;;115
37;BARRA BONITA;1;3;;;F;;;114
37;BARRA BONITA;1;4;;;F;;;113
37;BARRA BONITA;1;6;;;F;;;112
37;BARRA BONITA;1;7;;;F;;;111
40;PROMISSAO;1;1;;;F;;;27
40;PROMISSAO;1;2;;;F;;;26
