&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    30 00 0  F                  58
DEFANT     4    6  H    30 00 0  F                 134
DEFANT     6    7  H    30 00 0  F                 429
DEFANT     7    8  H    30 00 0  F                 374
DEFANT     8    9  H    30 00 0  F                 314
DEFANT     9   10  H    30 00 0  F                 256
DEFANT    10   11  H    30 00 0  F                 316
DEFANT    11   12  H    30 00 0  F                 287
DEFANT    12   17  H    30 00 0  F                 466
DEFANT    14   15  H    30 00 0  F                  38
DEFANT    15   16  H    30 00 0  F                  42
DEFANT    16   17  H    28 00 0  F                  35
DEFANT    16   17  H    29 00 0  F                  45
DEFANT    17   18  H    30 00 0  F                 819
DEFANT    18   34  H    30 00 0  F                 790
DEFANT    20   21  H    30 00 0  F                 120
DEFANT    21   24  H    30 00 0  F                  76
DEFANT    24   31  H    30 00 0  F                 134
DEFANT    25   26  H    30 00 0  F                 102
DEFANT    26   27  H    30 00 0  F                 139
DEFANT    27   28  H    30 00 0  F                 164
DEFANT    28   31  H    30 00 0  F                 136
DEFANT    29  203  H    30 00 0  F                  95
DEFANT    30   31  H    30 00 0  F                 317
DEFANT    31   32  H    30 00 0  F                1919
DEFANT    32   33  H    30 00 0  F                1958
DEFANT    33   34  H    30 00 0  F                2488
DEFANT    34   45  H    30 00 0  F                3139
DEFANT    37   38  H    30 00 0  F                 135
DEFANT    38   39  H    30 00 0  F                 154
DEFANT    39   40  H    30 00 0  F                 222
DEFANT    40   42  H    30 00 0  F                 474
DEFANT    42   43  H    30 00 0  F                 357
DEFANT    43   45  H    30 00 0  F                 254
DEFANT    45   46  H    30 00 0  F                3700
DEFANT    46   66  H    29 00 0  F                4323
DEFANT    46   66  H    30 00 0  F                4328
DEFANT    47   48  H    30 00 0  F                  60
DEFANT    48   49  H    30 00 0  F                  54
DEFANT    49  249  H    30 00 0  F                 100
DEFANT    50   51  H    30 00 0  F                 167
DEFANT    51   52  H    30 00 0  F                 157
DEFANT    52   61  H    30 00 0  F                 153
DEFANT    57   61  H    30 00 0  F                  68
DEFANT    61   62  H    30 00 0  F                 392
DEFANT    62   63  H    30 00 0  F                 406
DEFANT    63   66  H    29 00 0  F                 512
DEFANT    63   66  H    30 00 0  F                 497
DEFANT    71   72  H    30 00 0  F                   7
DEFANT    72   73  H    30 00 0  F                   7
DEFANT    73   77  H    30 00 0  F                  15
DEFANT    74   76  H    30 00 0  F                 116
DEFANT    76   77  H    30 00 0  F                 155
DEFANT    77   78  H    30 00 0  F                 209
DEFANT    78   82  H    30 00 0  F                 220
DEFANT    82   83  H    30 00 0  F                 427
DEFANT    86   91  H    30 00 0  F                 174
DEFANT    89   90  H    30 00 0  F                  13
DEFANT    90   91  H    30 00 0  F                  37
DEFANT    91   92  H    30 00 0  F                 294
DEFANT    92  103  H    30 00 0  F                 234
DEFANT    93   94  H    30 00 0  F                   0
DEFANT    94  103  H    30 00 0  F                   0
DEFANT    97   98  H    30 00 0  F                   7
DEFANT    98   99  H    30 00 0  F                  13
DEFANT   101  102  H    30 00 0  F                  52
DEFANT   107   37  H    29 00 0  F                  89
DEFANT   110  111  H    30 00 0  F                  12
DEFANT   111  112  H    30 00 0  F                  69
DEFANT   112  113  H    30 00 0  F                  44
DEFANT   113  114  H    30 00 0  F                  72
DEFANT   120  123  H    28 00 0  F                   4
DEFANT   120  123  H    30 00 0  F                  25
DEFANT   121  122  H    30 00 0  F                 120
DEFANT   122  123  H    27 00 0  F                  35
DEFANT   122  123  H    30 00 0  F                 225
DEFANT   123  125  H    30 00 0  F                 317
DEFANT   125  129  H    29 00 0  F                  74
DEFANT   125  129  H    30 00 0  F                 207
