Mont,Jus,TpJ,di,hi,mi,df,hf,mf,defluencia
2,4,H,30,00,0,F,0.0,0.0,58
4,6,H,30,00,0,F,0.0,0.0,134
6,7,H,30,00,0,F,0.0,0.0,429
7,8,H,30,00,0,F,0.0,0.0,374
8,9,H,30,00,0,F,0.0,0.0,314
9,10,H,30,00,0,F,0.0,0.0,256
10,11,H,30,00,0,F,0.0,0.0,316
11,12,H,30,00,0,F,0.0,0.0,287
12,17,H,30,00,0,F,0.0,0.0,466
14,15,H,30,00,0,F,0.0,0.0,38
15,16,H,30,00,0,F,0.0,0.0,42
16,17,H,28,00,0,F,0.0,0.0,35
16,17,H,29,00,0,F,0.0,0.0,45
17,18,H,30,00,0,F,0.0,0.0,819
18,34,H,30,00,0,F,0.0,0.0,790
20,21,H,30,00,0,F,0.0,0.0,120
21,24,H,30,00,0,F,0.0,0.0,76
24,31,H,30,00,0,F,0.0,0.0,134
25,26,H,30,00,0,F,0.0,0.0,102
26,27,H,30,00,0,F,0.0,0.0,139
27,28,H,30,00,0,F,0.0,0.0,164
28,31,H,30,00,0,F,0.0,0.0,136
29,203,H,30,00,0,F,0.0,0.0,95
30,31,H,30,00,0,F,0.0,0.0,317
31,32,H,30,00,0,F,0.0,0.0,1919
32,33,H,30,00,0,F,0.0,0.0,1958
33,34,H,30,00,0,F,0.0,0.0,2488
34,45,H,30,00,0,F,0.0,0.0,3139
37,38,H,30,00,0,F,0.0,0.0,135
38,39,H,30,00,0,F,0.0,0.0,154
39,40,H,30,00,0,F,0.0,0.0,222
40,42,H,30,00,0,F,0.0,0.0,474
42,43,H,30,00,0,F,0.0,0.0,357
43,45,H,30,00,0,F,0.0,0.0,254
45,46,H,30,00,0,F,0.0,0.0,3700
46,66,H,29,00,0,F,0.0,0.0,4323
46,66,H,30,00,0,F,0.0,0.0,4328
47,48,H,30,00,0,F,0.0,0.0,60
48,49,H,30,00,0,F,0.0,0.0,54
49,249,H,30,00,0,F,0.0,0.0,100
50,51,H,30,00,0,F,0.0,0.0,167
51,52,H,30,00,0,F,0.0,0.0,157
52,61,H,30,00,0,F,0.0,0.0,153
57,61,H,30,00,0,F,0.0,0.0,68
61,62,H,30,00,0,F,0.0,0.0,392
62,63,H,30,00,0,F,0.0,0.0,406
63,66,H,29,00,0,F,0.0,0.0,512
63,66,H,30,00,0,F,0.0,0.0,497
71,72,H,30,00,0,F,0.0,0.0,7
72,73,H,30,00,0,F,0.0,0.0,7
73,77,H,30,00,0,F,0.0,0.0,15
74,76,H,30,00,0,F,0.0,0.0,116
76,77,H,30,00,0,F,0.0,0.0,155
77,78,H,30,00,0,F,0.0,0.0,209
78,82,H,30,00,0,F,0.0,0.0,220
82,83,H,30,00,0,F,0.0,0.0,427
86,91,H,30,00,0,F,0.0,0.0,174
89,90,H,30,00,0,F,0.0,0.0,13
90,91,H,30,00,0,F,0.0,0.0,37
91,92,H,30,00,0,F,0.0,0.0,294
