ss,di,hi,mi,df,hf,mf,Demanda
1,01,00,0,F,0.0,0.0,36528.37
1,01,00,1,F,0.0,0.0,35557.15
1,01,01,0,F,0.0,0.0,34696.29
1,01,01,1,F,0.0,0.0,34034.78
1,01,02,0,F,0.0,0.0,33462.67
1,01,02,1,F,0.0,0.0,32954.50
1,01,03,0,F,0.0,0.0,32601.82
1,01,03,1,F,0.0,0.0,32439.91
1,01,04,0,F,0.0,0.0,32419.58
1,01,04,1,F,0.0,0.0,32302.29
1,01,05,0,F,0.0,0.0,32358.17
1,01,05,1,F,0.0,0.0,32565.62
1,01,06,0,F,0.0,0.0,32446.00
1,01,06,1,F,0.0,0.0,31904.02
1,01,07,0,F,0.0,0.0,32009.92
1,01,07,1,F,0.0,0.0,32458.55
1,01,08,0,F,0.0,0.0,33135.01
1,01,08,1,F,0.0,0.0,33647.87
1,01,09,0,F,0.0,0.0,34104.46
1,01,09,1,F,0.0,0.0,34575.33
1,01,10,0,F,0.0,0.0,34861.13
1,01,10,1,F,0.0,0.0,35398.57
1,01,11,0,F,0.0,0.0,35664.33
1,01,11,1,F,0.0,0.0,35947.67
1,01,12,0,F,0.0,0.0,36212.58
1,01,12,1,F,0.0,0.0,36129.80
1,01,13,0,F,0.0,0.0,36079.14
1,01,13,1,F,0.0,0.0,36177.98
1,01,14,0,F,0.0,0.0,36074.09
1,01,14,1,F,0.0,0.0,36246.52
1,01,15,0,F,0.0,0.0,36470.51
1,01,15,1,F,0.0,0.0,36689.68
1,01,16,0,F,0.0,0.0,37076.08
1,01,16,1,F,0.0,0.0,37752.71
1,01,17,0,F,0.0,0.0,38867.46
1,01,17,1,F,0.0,0.0,41184.67
1,01,18,0,F,0.0,0.0,43751.07
1,01,18,1,F,0.0,0.0,44383.94
1,01,19,0,F,0.0,0.0,43961.51
1,01,19,1,F,0.0,0.0,43185.65
1,01,20,0,F,0.0,0.0,42416.17
1,01,20,1,F,0.0,0.0,41959.28
1,01,21,0,F,0.0,0.0,41169.89
1,01,21,1,F,0.0,0.0,40250.42
1,01,22,0,F,0.0,0.0,39115.90
1,01,22,1,F,0.0,0.0,38043.59
1,01,23,0,F,0.0,0.0,36872.30
1,01,23,1,F,0.0,0.0,36158.13
2,01,00,0,F,0.0,0.0,10140.79
2,01,00,1,F,0.0,0.0,9790.95
2,01,01,0,F,0.0,0.0,9509.04
2,01,01,1,F,0.0,0.0,9255.77
2,01,02,0,F,0.0,0.0,9060.10
2,01,02,1,F,0.0,0.0,8911.05
2,01,03,0,F,0.0,0.0,8839.06
2,01,03,1,F,0.0,0.0,8779.80
2,01,04,0,F,0.0,0.0,8699.94
2,01,04,1,F,0.0,0.0,8663.91
