&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;    1 ;A3AREA_AREAL_00260_UHE                   ;      9999 ;1.0 ;0; 
EOLICA ;    2 ;A3BRAC_BRACO_00274_UHE                   ;      9999 ;1.0 ;0; 
EOLICA ;    3 ;A3NOVA_Nova Iguacu_00286_UTE             ;      9999 ;1.0 ;0; 
EOLICA ;    4 ;A3CASA_CASCATA_00295_UHE                 ;      9999 ;1.0 ;0; 
EOLICA ;    5 ;A3SERA_SERRA_00295_UHE                   ;      9999 ;1.0 ;0; 
EOLICA ;    6 ;A2BIOA_BIO ALVORADA_00307_UTE            ;      9999 ;1.0 ;0; 
EOLICA ;    7 ;A2BIOE_BIOENERGETICA AROEIRA_00307_UTE   ;      9999 ;1.0 ;0; 
EOLICA ;    8 ;A2LUZI_SANTA LUZIA_00307_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;    9 ;A5PIED_PIEDADE_00307_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;   10 ;A5POCS_POCOES_00307_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;   11 ;A5SMRS_Salto Morais_00307_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;   12 ;A2CACE_CACHOEIRA DO FAGUNDES_00309_CGH   ;      9999 ;1.0 ;0; 
EOLICA ;   13 ;A2ILH _ILHEUS_00309_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;   14 ;A2LAVR_LAVRAS_00309_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;   15 ;A2CFLO_CAMPO FLORIDO_00322_UTE           ;      9999 ;1.0 ;0; 
EOLICA ;   16 ;A2COCF_CORURIPE ENERGETICA_00322_UTE     ;      9999 ;1.0 ;0; 
EOLICA ;   17 ;A5CRDO_Cerradao 2_00322_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;   18 ;A5UTF _FRUTAL_00322_UTE                  ;      9999 ;1.0 ;0; 
EOLICA ;   19 ;A5TAPU_TAPUIRAMA_00340_CGH               ;      9999 ;1.0 ;0; 
EOLICA ;   20 ;A2ALTO_ALTO BREJAUBA_00348_CGH           ;      9999 ;1.0 ;0; 
EOLICA ;   21 ;A2BPC _Barra da Paciencia_00348_PCH      ;      9999 ;1.0 ;0; 
EOLICA ;   22 ;A2BREA_BREJAUBA_00348_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;   23 ;A2CEDR_CEDRO_00348_CGH                   ;      9999 ;1.0 ;0; 
EOLICA ;   24 ;A2CGR _CORRENTE GRANDE_00348_CGH         ;      9999 ;1.0 ;0; 
EOLICA ;   25 ;A2FUIL_FUNIL_00348_PCH                   ;      9999 ;1.0 ;0; 
EOLICA ;   26 ;A2MALA_MALAGONE_00392_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;   27 ;A5CENT_C.E. Tupaciguara (Aroei_00392_UTE ;      9999 ;1.0 ;0; 
EOLICA ;   28 ;A5UBLD_UBERLANDIA_00392_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;   29 ;A5SANH_SANTA HELENA_00399_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;   30 ;GTCUFG_CJGUAIMBE_00409_UFV               ;      9999 ;1.0 ;0; 
EOLICA ;   31 ;FAPIFA_FARTURA_00672_UTE                 ;      9999 ;1.0 ;0; 
EOLICA ;   32 ;F2TQR _Quirinopolis_00785_UTE            ;      9999 ;1.0 ;0; 
EOLICA ;   33 ;D2RIOD_Rio das Mortes_00825_CGH          ;      9999 ;1.0 ;0; 
EOLICA ;   34 ;D2BOAV_Boa Vista II_00828_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;   35 ;D2CABE_CABECA DE PATO_00828_CGH          ;      9999 ;1.0 ;0; 
EOLICA ;   36 ;D2CACH_Cachoeira_00828_CGH               ;      9999 ;1.0 ;0; 
EOLICA ;   37 ;D2CRIS_Cristalino_00828_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;   38 ;D2ITAG_Itaguacu_00828_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;   39 ;D2PEDR_Pedrinho I_00828_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;   40 ;D2RIOC_Rio Capivara_00835_CGH            ;      9999 ;1.0 ;0; 
EOLICA ;   41 ;D2BAIT_Baitaca_00836_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;   42 ;D2PARD_Pardos_00836_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   43 ;D2RIOB_Rio Bonito_00836_CGH              ;      9999 ;1.0 ;0; 
EOLICA ;   44 ;D2ECOL_Ecoluz_00837_UTE                  ;      9999 ;1.0 ;0; 
EOLICA ;   45 ;D2PADO_Padovani_00841_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;   46 ;D2GENE_Generoso_00842_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;   47 ;D2JACA_Jacare_00845_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   48 ;D2VILA_Vila Galupo_00845_PCH             ;      9999 ;1.0 ;0; 
EOLICA ;   49 ;D2MOIN_Moinho_00849_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   50 ;D2SAOF_Sao Francisco_00857_PCH           ;      9999 ;1.0 ;0; 
EOLICA ;   51 ;D2DEST_Destilaria Melhoramento_00861_UTE ;      9999 ;1.0 ;0; 
EOLICA ;   52 ;D2GEOE_Geo Eletrica Tamboara_00870_UTE   ;      9999 ;1.0 ;0; 
EOLICA ;   53 ;D2USAC_Usacucar - Terra Rica_00870_UTE   ;      9999 ;1.0 ;0; 
EOLICA ;   54 ;D2OURO_Ouro Branco_00871_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;   55 ;D2APC _Apucaraninha_00892_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;   56 ;D5UCLA_Lages_00902_UTE                   ;      9999 ;1.0 ;0; 
EOLICA ;   57 ;D2MEL _Melissa_00994_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;   58 ;A3BOMJ_BOM JARDIM_01014_UHE              ;      9999 ;1.0 ;0; 
EOLICA ;   59 ;D4RAFA_Rafael Arabuta_01023_CGH          ;      9999 ;1.0 ;0; 
EOLICA ;   60 ;D2UTBG_Tibagi Montante_01053_UHE         ;      9999 ;1.0 ;0; 
EOLICA ;   61 ;D1PASS_PASSA TEMPO_01123_UTE             ;      9999 ;1.0 ;0; 
EOLICA ;   62 ;D1MIM1_A Chateaubriand (Mimo_01125_UHE   ;      9999 ;1.0 ;0; 
EOLICA ;   63 ;D3PICA_Picada 48_01184_CGH               ;      9999 ;1.0 ;0; 
