Mon,Jus,tp,hora,tpTVIAG
66,1,S,24,2
83,1,S,17,1
2,4,H,12,1
4,6,H,23,1
6,7,H,6,1
7,8,H,2,1
8,9,H,2,1
9,10,H,5,1
10,11,H,2,1
11,12,H,6,1
12,17,H,6,1
14,15,H,12,1
15,16,H,3,1
16,17,H,72,1
17,18,H,6,1
18,34,H,6,1
20,21,H,8,1
21,24,H,11,1
24,31,H,6,1
25,26,H,6,1
26,27,H,5,1
27,28,H,1,1
28,31,H,4,1
29,203,H,1,1
30,31,H,6,1
31,32,H,4,1
32,33,H,8,1
33,34,H,14,1
34,45,H,3,1
37,38,H,12,1
38,39,H,6,1
39,40,H,6,1
40,42,H,6,1
42,43,H,7,1
43,45,H,5,1
45,46,H,24,1
46,66,H,48,1
47,48,H,1,1
48,49,H,4,1
49,249,H,2,1
50,51,H,2,1
51,52,H,1,1
52,61,H,5,1
57,61,H,22,1
61,62,H,4,1
62,63,H,4,1
63,66,H,48,1
71,72,H,1,1
72,73,H,2,1
73,77,H,1,1
74,76,H,1,1
76,77,H,1,1
77,78,H,1,1
78,82,H,1,1
82,83,H,2,1
86,91,H,1,1
89,90,H,1,1
90,91,H,1,1
91,92,H,1,1
92,103,H,1,1
93,94,H,1,1
94,103,H,1,1
97,98,H,1,1
98,99,H,1,1
101,102,H,1,1
107,37,H,48,1
110,111,H,1,1
111,112,H,1,1
112,113,H,1,1
113,114,H,1,1
120,123,H,72,1
121,122,H,6,1
122,123,H,84,1
123,125,H,24,1
125,129,H,40,1
126,127,H,5,1
127,129,H,6,1
129,130,H,8,1
134,135,H,2,1
135,141,H,24,1
139,141,H,48,1
141,143,H,12,1
143,144,H,1,1
148,154,H,120,1
153,46,H,20,1
155,156,H,12,1
156,169,H,360,1
162,169,H,360,1
169,172,H,60,1
172,173,H,3,1
174,178,H,3,1
175,178,H,3,1
192,193,H,4,1
193,141,H,36,1
203,30,H,16,1
204,280,H,2,1
228,229,H,108,1
229,230,H,4,1
241,34,H,9,1
249,50,H,2,1
251,252,H,3,1
252,253,H,3,1
253,257,H,3,1
257,261,H,40,1
261,267,H,68,1
262,241,H,18,1
267,275,H,61,1
280,284,H,2,1
285,287,H,18,1
290,34,H,18,1
311,312,H,3,1
312,315,H,8,1
315,34,H,10,1
