x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
FUNDÃO,72,Media Movel,102.1842105263158,102.2431941923775,102.26905626134301,102.25589836660617,102.244555353902,102.24183303085299,102.23366606170599,102.23411978221415,102.23593466424683,102.23865698729583,102.23411978221415,102.22005444646098,102.21324863883848,102.23684210526316,102.34664246823957,102.47595281306715,102.59255898366607,102.69010889292196,102.79083484573503,102.90426497277677,103.01542649727767,103.11932849364791,103.19827586206897,103.26043557168784,103.3103448275862,103.34709618874773,103.36932849364791,103.38475499092559,103.3970054446461,103.40199637023593,103.40063520871144,103.3956442831216,103.40653357531761,103.40517241379311,103.40063520871144,103.39609800362976,103.39382940108892,103.39110707803992,103.38838475499092,103.41197822141561,103.37250453720509,103.35526315789474,103.36660617059891,103.36343012704174,103.36388384754991,103.35390199637024,103.37205081669691,103.35254083484574
G. B. MUNHOZ,74,Media Movel,339.98604219600725,340.2039074410163,340.4222327586207,340.614278584392,340.79139246823956,340.9571973684211,341.1380372050817,341.3715598911071,341.6677127949183,341.66761705989114,341.66775635208717,341.6678715970962,341.6679995462795,341.66811343012705,341.66838339382946,341.6687282214157,341.66907667876586,341.2325136116152,340.83818602540833,340.4734305807622,340.15452676950997,339.86234936479127,339.6104859346642,339.3758112522686,339.1460662431942,338.9112649727768,338.6968130671507,338.47594600725955,338.2427649727768,338.4206234119782,338.52180308529944,338.59031488203266,338.59212976406536,338.56717513611613,338.52588656987297,338.41200272232305,338.3257958257713,338.2296070780399,338.13341833030853,338.02997005444644,337.9129101633394,337.78722958257714,337.6610952813067,337.5331460980036,337.27860889292197,337.02134936479126,336.78178493647914,336.574888384755
JORDÃO,73,Media Movel,118.42196007259528,118.46098003629764,118.47413793103448,118.45009074410163,118.43239564428312,118.42558983666062,118.41878402903811,118.41833030852995,118.42014519056261,118.43103448275862,118.43511796733212,118.42967332123412,118.43920145190563,118.4627949183303,118.58575317604355,118.73411978221415,118.86978221415607,118.99092558983666,119.12250453720509,119.26179673321234,119.38656987295826,119.49909255898366,119.60254083484574,119.6842105263158,119.75045372050816,119.80308529945553,119.84119782214157,119.87295825771325,119.89382940108892,119.90744101633393,119.91424682395645,119.91923774954628,119.9410163339383,119.94509981851179,119.94872958257713,119.94736842105263,119.94600725952813,119.94872958257713,119.94963702359347,119.97686025408349,119.94147005444646,119.92604355716878,119.94419237749547,119.9423774954628,119.94147005444646,119.93012704174228,119.94646098003629,119.92785843920146
SALTO SANTIAGO,77,Media Movel,311.82915245009076,312.1022921960073,312.0923103448276,312.4310617059891,312.39794010889295,312.3977958257713,312.3976152450091,312.8152853901996,312.8151460980036,313.26352949183297,313.66917377495463,314.10454355716877,314.47913021778584,314.47898411978224,314.4789101633394,314.4790335753176,314.47905989110706,314.4791338475499,314.47923049001815,314.47901814882033,314.4790716878403,314.47923230490017,314.4792835753176,314.4794623411978,314.4795131578947,314.4797790381125,314.8149042649727,314.8146588021778,314.81464292196006,314.81441878402904,314.8141088929219,314.81396460980034,315.1769042649728,315.4985893829401,315.90810843920144,315.9078117059891,315.90767695099817,315.90753266787664,315.9073938294011,315.90737295825767,316.13225952813065,316.51768375680575,316.9303951905626,317.3298253176044,317.7432717785844,318.0601429219601,318.38260344827586,318.5149496370236
SANTA CLARA-PR,71,Media Movel,99.04990925589837,98.99818511796734,98.96098003629764,98.91833030852995,98.86887477313975,98.79627949183303,98.75090744101634,98.74047186932849,98.76179673321234,98.8461887477314,98.92332123411978,99.00589836660617,99.12568058076225,99.26633393829401,99.40471869328493,99.52404718693285,99.65063520871144,99.77087114337569,99.8970054446461,100.02495462794919,100.14110707803992,100.2486388384755,100.34573502722323,100.42422867513612,100.49274047186933,100.54854809437387,100.59437386569873,100.62931034482759,100.65517241379311,100.67604355716878,100.69147005444646,100.70780399274047,100.72141560798548,100.73003629764065,100.73548094373865,100.72413793103448,100.69283121597095,100.66923774954628,100.6470054446461,100.63747731397459,100.63157894736842,100.62522686025409,100.62341197822141,100.61978221415607,100.56397459165154,100.48185117967333,100.40698729582577,100.34528130671507
SEGREDO,76,Media Movel,366.76576497277676,366.9604110707804,366.9776524500908,367.3096315789474,367.3572722323048,367.59574228675126,367.9987949183303,368.38410798548097,368.7961982758621,369.13708030852996,369.5047404718693,369.60455898366604,369.89418602540826,370.3407191470055,370.7822717785844,370.78195009074415,370.7817568058076,370.78153130671507,370.78165789473684,371.23326542649727,371.2332091651543,371.2331583484574,371.23308076225044,371.2329546279492,371.2328166969147,370.8358951905626,371.0701901088929,371.5196220508167,371.5193797640653,371.95650453720503,371.95622504537204,371.95605127041745,371.9787372958258,372.20636479128854,372.5932227767695,372.59304083484574,372.59283802177856,372.5926887477314,373.03585934664244,373.39880626134305,373.67586842105266,374.02283030852993,374.35336887477314,374.6811783121597,375.0130113430127,375.3358838475499,375.25739019963703,374.93570235934664
FUNDÃO,72,Media Movel Scaled,7.0,42.02217294900275,57.37804878048345,49.565410199556155,42.83037694013287,41.213968957864196,36.364745011083485,36.63414634145738,37.71175166296983,39.328159645230066,36.63414634145738,28.282705099773857,24.241685144123263,38.25055432372605,103.44567627494241,180.2250554323712,249.46119733924658,307.38248337028347,367.1895787139713,434.53991130820407,500.54323725055065,562.2361419068725,609.1119733924617,646.0199556540985,675.6541019955644,697.4756097560944,710.6762749445671,719.8359201773808,727.1097560975602,730.0731707317069,729.2649667405767,726.3015521064301,732.7671840354795,731.9589800443493,729.2649667405767,726.5709534368041,725.2239467849176,723.6075388026575,721.9911308203972,736.0,712.5620842572097,702.3248337028836,709.0598669623068,707.1740576496643,707.4434589800466,701.5166297117535,712.2926829268274,700.7084257206233
G. B. MUNHOZ,74,Media Movel Scaled,667.2695916998031,709.8230459991282,752.4663617086869,789.9767653070054,824.5706610050922,856.95568525338,892.2773343053589,937.8890010364358,995.7336061152217,995.7149071432792,995.7421137043696,995.7646233672848,995.7896144103579,995.8118582111211,995.8645875396214,995.9319392869397,996.0,910.7304723798698,833.710381736598,762.466323770715,700.1780099213082,643.1098995924923,593.9159174906822,548.0792427511453,503.20543213606356,457.3440322156053,415.4572715939954,372.31750261013565,326.7725672813376,361.51188958119286,381.27431017524134,394.6560389183008,395.0105217989188,390.13638219051137,382.07189665662054,359.8280958982911,342.9901590692737,324.20256639690217,305.41497372453074,285.2094495297098,262.3453037303213,237.79736424801987,213.16080404556396,188.16976096250127,138.4535369568393,88.20558863025046,41.4138483896307,1.0028000000000001
JORDÃO,73,Media Movel Scaled,3.7947016011652543,23.08774381368296,29.593537117900855,17.703639010187196,8.954468704510969,5.589403202330509,2.224337700143022,2.0,2.897350800579114,8.281455604074878,10.300494905383154,7.608442503638785,12.319534206698457,23.98509461426207,84.7806113537096,158.13903930130687,225.21601164482928,285.1141775836977,350.1721106259118,419.04378457059244,480.73665211062615,536.3724017467209,587.5213973799131,627.9021834061137,660.6554876273603,686.678660844246,705.5230276564776,721.2266666666648,731.5462008733563,738.2763318777241,741.6413973799117,744.109112081513,754.8773216884975,756.8963609898059,758.691062590971,758.018049490535,757.3450363900988,758.691062590971,759.1397379912642,772.6,755.1016593886405,747.4741775836935,756.4476855895198,755.5503347889337,755.1016593886405,749.4932168850017,757.5693740902419,748.3715283842796
SALTO SANTIAGO,77,Media Movel Scaled,1.0025999999999997,41.65195405979298,40.166429492819496,90.58027157898984,85.65103097041332,85.62955838802951,85.60268389814082,147.7614208299811,147.7406910098849,214.4702519866025,274.8392694344793,339.63211151893427,395.37905432436656,395.3573116466185,395.3463052600497,395.36467174560505,395.3685881285516,395.37959451512046,395.393977093882,395.3623759349117,395.3703437484996,395.39424718925466,395.40187738362243,395.4284817781384,395.4360444486587,395.4756134212168,445.34980494650506,445.3132745469279,445.31091121239564,445.27755443348593,445.23143564805935,445.209963065684,499.2235687968437,547.0975690165562,608.0432400917817,607.999079497837,607.9790249161811,607.9575523338141,607.9368900375569,607.9337839407284,641.4019771961066,698.7617945381976,760.1825633794845,819.6267742605776,881.1569317290619,928.3145039644351,976.3039024334596,996.0
