CodUsina,Usina,Sistema,Empresa,Posto,Posto BDH,Jusante,Desvio,Vol.Máx.(hm3),Vol.min.(hm3),Cota Máx.(m),Cota min.(m),Vol.Vert.(hm3),Vol.Desv.(hm3),PCV(0),PCV(1),PCV(2),PCV(3),PCV(4),PAC(0),PAC(1),PAC(2),PAC(3),PAC(4),Evap.Men.(1),Evap.Men.(2),Evap.Men.(3),Evap.Men.(4),Evap.Men.(5),Evap.Men.(6),Evap.Men.(7),Evap.Men.(8),Evap.Men.(9),Evap.Men.(10),Evap.Men.(11),Evap.Men.(12),Prod.Esp.(MW/m3/s/m),Canal Fuga Médio(m),TEIF(%),IP(%),Tipo Turbina,Num.Conj.Máq.,Num.Pols.Jus.,Fat.Carga Máx.(%),Fat.Carga mín.(%),Tipo Perdas(1=%/2=M/3=K),Valor Perdas,Vazão Mín.Hist.(m3/s),Num.Unid.Base,Infl.Vert.Canal de Fuga,Rep.Conj(0=aprox/1=det/2=simp),#Maq(1),PotEf(1),QEf(1),HEf(1),#Maq(2),PotEf(2),QEf(2),HEf(2),#Maq(3),PotEf(3),QEf(3),HEf(3),#Maq(4),PotEf(4),QEf(4),HEf(4),#Maq(5),PotEf(5),QEf(5),HEf(5),QHTA0(1),QHTA1(1),QHTA2(1),QHTA3(1),QHTA4(1),QHTA0(2),QHTA1(2),QHTA2(2),QHTA3(2),QHTA4(2),QHTA0(3),QHTA1(3),QHTA2(3),QHTA3(3),QHTA4(3),QHTA0(4),QHTA1(4),QHTA2(4),QHTA3(4),QHTA4(4),QHTA0(5),QHTA1(5),QHTA2(5),QHTA3(5),QHTA4(5),QHGA0(1),QHGA1(1),QHGA2(1),QHGA3(1),QHGA4(1),QHGA0(2),QHGA1(2),QHGA2(2),QHGA3(2),QHGA4(2),QHGA0(3),QHGA1(3),QHGA2(3),QHGA3(3),QHGA4(3),QHGA0(4),QHGA1(4),QHGA2(4),QHGA3(4),QHGA4(4),QHGA0(5),QHGA1(5),QHGA2(5),QHGA3(5),QHGA4(5),PHA0(1),PHA1(1),PHA2(1),PHA3(1),PHA4(1),PHA0(2),PHA1(2),PHA2(2),PHA3(2),PHA4(2),PHA0(3),PHA1(3),PHA2(3),PHA3(3),PHA4(3),PHA0(4),PHA1(4),PHA2(4),PHA3(4),PHA4(4),PHA0(5),PHA1(5),PHA2(5),PHA3(5),PHA4(4),PJA0(1),PJA1(1),PJA2(1),PJA3(1),PJA4(1),PJRM(1),PJA0(2),PJA1(2),PJA2(2),PJA3(2),PJA4(2),PJRM(2),PJA0(3),PJA1(3),PJA2(3),PJA3(3),PJA4(3),PJRM(3),PJA0(4),PJA1(4),PJA2(4),PJA3(4),PJA4(4),PJRM(4),PJA0(5),PJA1(5),PJA2(5),PJA3(5),PJA4(5),PJRM(5),Data,Obs,Vol.Ref.,Reg
2,ITUTINGA    ,1 - Sudeste,18 - Cemig,2,0,4 - FUNIL-GRANDE,0 - NÃO HÁ,11,11,886,886,11,11,886,0,0,0,0,2,0,0,0,0,2,5,31,40,48,44,30,24,27,19,6,8,0,858,2,3,2 - Kaplan/Propeller,3,1,100,0,1,2,24,1,No,2,2,13,57,25,1,14,63,25,1,13,59,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"856,0900","0,0077","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,11,D
4,FUNIL-GRANDE,1 - Sudeste,18 - Cemig,211,0,6 - FURNAS      ,0 - NÃO HÁ,304,304,808,808,304,304,808,0,0,0,0,38,0,0,0,0,6,6,31,42,48,47,33,29,33,22,10,14,0,768,"1,8300",5,2 - Kaplan/Propeller,1,1,100,0,2,1,48,2,Yes,2,3,60,195,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"768,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,304,D
8,ESTREITO    ,1 - Sudeste,19 - Furnas,8,0,9 - JAGUARA     ,0 - NÃO HÁ,1423,1423,623,623,1423,1423,623,0,0,0,0,47,0,0,0,0,10,5,18,38,53,52,48,43,39,15,2,21,0,558,5,7,1 - Francis,1,1,100,0,1,2,115,3,Yes,2,6,184,338,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"556,7180","0,0012","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1423,D
9,JAGUARA     ,1 - Sudeste,18 - Cemig,9,0,10 - IGARAPAVA   ,0 - NÃO HÁ,450,450,559,559,450,450,559,0,0,0,0,34,0,0,0,0,8,3,20,44,56,54,46,44,44,22,5,26,0,513,1,2,1 - Francis,1,1,100,0,1,1,116,3,No,2,4,106,269,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"510,0300","0,0018","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,450,D
10,IGARAPAVA   ,1 - Sudeste,18 - Cemig,10,0,11 - VOLTA GRANDE,0 - NÃO HÁ,480,480,512,512,480,480,512,0,0,0,0,52,0,0,0,0,8,5,24,48,60,58,51,48,48,26,7,29,0,495,4,1,2 - Kaplan/Propeller,1,1,100,0,2,0,119,4,Yes,2,5,42,296,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"494,2020","0,0008","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,480,D
11,VOLTA GRANDE,1 - Sudeste,18 - Cemig,11,0,12 - P. COLOMBIA ,0 - NÃO HÁ,2244,2244,495,495,2244,2244,495,0,0,0,0,202,0,0,0,0,9,7,24,52,65,64,54,52,50,27,5,30,0,467,6,2,2 - Kaplan/Propeller,1,1,100,0,1,1,126,3,No,2,4,95,396,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"466,0100","0,0009","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,2244,D
12,P. COLOMBIA ,1 - Sudeste,19 - Furnas,12,0,17 - MARIMBONDO  ,0 - NÃO HÁ,1524,1524,467,467,1524,1524,467,0,0,0,0,144,0,0,0,0,9,8,27,55,67,68,57,55,52,29,6,32,0,443,2,7,2 - Kaplan/Propeller,1,1,100,0,1,2,143,3,Yes,2,4,82,497,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"446,0700","0,0002","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1524,D
15,E. DA CUNHA ,1 - Sudeste,56 - ,15,0,16 - A.S.OLIVEIRA,0 - NÃO HÁ,14,14,665,665,14,14,665,0,0,0,0,1,0,0,0,0,22,11,25,42,58,52,47,43,41,15,7,24,0,574,0,4,1 - Francis,1,1,100,0,1,2,12,2,Yes,2,4,27,37,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"572,2990","0,0646","-0,0002","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,14,D
16,A.S.OLIVEIRA,1 - Sudeste,56 - ,16,0,17 - MARIMBONDO  ,0 - NÃO HÁ,25,25,573,573,25,25,573,0,0,0,0,3,0,0,0,0,22,11,24,45,60,54,46,42,42,21,4,24,0,548,1,11,2 - Kaplan/Propeller,1,1,100,0,1,1,12,1,Yes,2,2,16,89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"545,3560","0,0166","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,25,D
28,CAPIM BRANC2,1 - Sudeste,18 - Cemig,28,0,31 - ITUMBIARA   ,0 - NÃO HÁ,879,878,565,565,878,878,527,0,0,0,0,1069820,-7786,21,0,0,2,0,18,40,55,56,53,49,50,19,4,23,0,518,1,4,1 - Francis,1,1,100,0,2,1,42,2,Yes,2,3,70,179,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,879,D
